"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_p50"
36047061600,"Kings County, NY",56625
36047021200,"Kings County, NY",56612
34013016000,"Glen Ridge, NJ",56597
36119001502,"Southeast Yonkers, Yonkers, NY",56584
36047069800,"Kings County, NY",56581
34003019306,"Fort Lee, NJ",56573
34003025100,"Hasbrouck Heights, NJ",56549
36081115500,"Queens County, NY",56527
34013021000,"Verona, NJ",56526
36047026000,"Kings County, NY",56512
36081006201,"Queens County, NY",56504
36047027600,"Kings County, NY",56490
36047005602,"Kings County, NY",56486
36085017011,"Richmond County, NY",56481
36047059300,"Kings County, NY",56465
36081088400,"Queens County, NY",56429
34003011300,"Elmwood Park, NJ",56422
36085014606,"Richmond County, NY",56421
36081117500,"Queens County, NY",56414
36081003800,"Queens County, NY",56412
36061015002,"Upper East Side, New York, NY",56397
36081077903,"Queens County, NY",56395
34013020300,"Essex County, NJ",56350
34013014900,"Bloomfield, NJ",56336
36081116700,"Queens County, NY",56319
36047012801,"Kings County, NY",56298
34039036301,"Clark, NJ",56298
36085018100,"Richmond County, NY",56297
36047038600,"Kings County, NY",56291
34017018600,"Hoboken, NJ",56282
36059413300,"Oceanside, NY",56282
36059413804,"Baldwin, NY",56262
36081148300,"Queens County, NY",56259
36081069701,"Queens County, NY",56255
34003051300,"Rutherford, NJ",56232
36081145102,"Queens County, NY",56181
34003042500,"Paramus, NJ",56174
36047010400,"Kings County, NY",56141
34013007800,"Ironbound District, Newark, NJ",56139
36081047300,"Queens County, NY",56126
36059406002,"West Hempstead, NY",56108
36081129103,"Queens County, NY",56105
34003055200,"Tenafly, NJ",56060
36081062900,"Queens County, NY",56055
36081092200,"Queens County, NY",56045
36081014900,"Queens County, NY",56041
36059410500,"Valley Stream, NY",56026
36081120500,"Queens County, NY",56019
34003003200,"Bergenfield, NJ",56013
36047028600,"Kings County, NY",56012
36047018400,"Kings County, NY",56000
36081001200,"Queens County, NY",55993
36059301000,"Sands Point, NY",55991
36081071305,"Queens County, NY",55963
36047043200,"Kings County, NY",55932
36047070000,"Kings County, NY",55921
36047076800,"Kings County, NY",55903
36047005400,"Kings County, NY",55899
36059410900,"Valley Stream, NY",55886
36047045600,"Kings County, NY",55881
34039035600,"Rahway, NJ",55854
34039033600,"Kenilworth, NJ",55833
36059412100,"East Rockaway, NY",55812
36081127700,"Queens County, NY",55808
36047043800,"Kings County, NY",55802
36059302600,"Floral Park, NY",55798
36081045700,"Queens County, NY",55779
34013021702,"Caldwell, NJ",55773
34039037500,"Springfield Township, NJ",55753
36059416300,"Atlantic Beach, NY",55752
36047024800,"Kings County, NY",55736
34003052200,"Saddle Brook, NJ",55735
34003038100,"North Arlington, NJ",55699
36119002404,"Southeast Yonkers, Yonkers, NY",55697
34003013002,"Edgewater, NJ",55694
36081120300,"Queens County, NY",55678
34027040102,"Lincoln Park, NJ",55677
36081071900,"Queens County, NY",55664
34003033300,"Maywood, NJ",55661
36081051700,"Queens County, NY",55658
34039037400,"Cranford, NJ",55645
36085015603,"Richmond County, NY",55640
34003006202,"Cliffside Park, NJ",55624
34023002401,"Colonia, Woodbridge Township, NJ",55599
36005027402,"Bronx County, NY",55590
34031264102,"Woodland Park, NJ",55583
36085024402,"Richmond County, NY",55575
34031246104,"Wayne, NJ",55515
36059413001,"Oceanside, NY",55470
34003004001,"Bogota, NJ",55466
36047101200,"Kings County, NY",55461
36047030400,"Kings County, NY",55459
34039033700,"Roselle Park, NJ",55455
36047059600,"Kings County, NY",55441
36081025302,"Queens County, NY",55423
36059301101,"Port Washington, NY",55414
36081157902,"Queens County, NY",55407
34017012300,"Kearny, NJ",55407
36047044400,"Kings County, NY",55400
34003030100,"Lodi, NJ",55390
36081004001,"Queens County, NY",55381
34003054300,"Teaneck, NJ",55367
34039033900,"Roselle Park, NJ",55355
36085024401,"Richmond County, NY",55327
36081077904,"Queens County, NY",55326
34027041803,"Parsippany, Parsippany-Troy Hills, NJ",55320
36059303600,"Mineola, NY",55313
36047026200,"Kings County, NY",55285
36081056600,"Queens County, NY",55283
36081129104,"Queens County, NY",55275
36081003100,"Queens County, NY",55273
36047056900,"Kings County, NY",55258
36047026600,"Kings County, NY",55256
36047036002,"Kings County, NY",55250
36081013000,"Queens County, NY",55220
36047065800,"Kings County, NY",55200
36081147900,"Queens County, NY",55196
36081059300,"Queens County, NY",55170
36047018800,"Kings County, NY",55170
36085014604,"Richmond County, NY",55166
36081147100,"Queens County, NY",55166
34003057200,"Wallington, NJ",55138
36059517302,"Glen Cove, NY",55126
36081077907,"Queens County, NY",55120
