"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_p75"
36081130100,"Queens County, NY",67034
36059413001,"Oceanside, NY",67032
34039033300,"Union, NJ",66970
34003023601,"Hackensack, NJ",66961
36059517901,"Bayville, NY",66954
36059404500,"Floral Park, NY",66941
36081093900,"Queens County, NY",66902
36047027400,"Kings County, NY",66883
36081088400,"Queens County, NY",66881
36047003000,"Kings County, NY",66874
34039035600,"Rahway, NJ",66873
36005016000,"Bronx County, NY",66872
36081000200,"Queens County, NY",66861
34013020600,"Livingston, NJ",66810
36059413803,"Baldwin, NY",66753
36047056500,"Kings County, NY",66740
34003051200,"Rutherford, NJ",66723
34039037900,"Summit, NJ",66719
36059517400,"Sea Cliff, NY",66715
36005031400,"Bronx County, NY",66694
34003052200,"Saddle Brook, NJ",66693
36081152901,"Queens County, NY",66692
34003050000,"Rochelle Park, NJ",66689
36047019600,"Kings County, NY",66671
34003013001,"Edgewater, NJ",66646
36081072100,"Queens County, NY",66630
34003033300,"Maywood, NJ",66604
36085009602,"Richmond County, NY",66580
36047067000,"Kings County, NY",66572
34039031904,"Elizabeth, NJ",66543
36085015602,"Richmond County, NY",66535
34003051400,"Rutherford, NJ",66528
36081157902,"Queens County, NY",66508
36059412301,"Rockville Centre, NY",66502
36081062500,"Queens County, NY",66494
36085017012,"Richmond County, NY",66475
36047006600,"Kings County, NY",66464
34027041803,"Parsippany, Parsippany-Troy Hills, NJ",66461
36061015002,"Upper East Side, New York, NY",66458
34017001201,"The Heights, Jersey City, NJ",66451
36085019800,"Richmond County, NY",66447
36047034800,"Kings County, NY",66440
36047057500,"Kings County, NY",66433
36081009800,"Queens County, NY",66421
34017011200,"Constable Hook, Bayonne, NJ",66393
36081077907,"Queens County, NY",66393
34031124311,"Montclair, NJ",66387
34013021601,"Fairfield, NJ",66364
36059411301,"Valley Stream, NY",66356
34003055100,"Tenafly, NJ",66354
36047044400,"Kings County, NY",66318
34013007900,"Ironbound District, Newark, NJ",66291
34003011100,"Elmwood Park, NJ",66281
36061012800,"Lenox Hill, New York, NY",66216
34017011100,"Constable Hook, Bayonne, NJ",66209
34031223802,"Totowa, NJ",66197
34031124602,"Clifton, NJ",66193
34013020100,"Essex County, NJ",66162
36047075400,"Kings County, NY",66104
36047070000,"Kings County, NY",66102
36047057400,"Kings County, NY",66095
36081124700,"Queens County, NY",66067
34017011500,"Constable Hook, Bayonne, NJ",66043
36059517801,"Locust Valley, NY",66002
34039037602,"Springfield Township, NJ",65987
36081117500,"Queens County, NY",65986
36047016600,"Kings County, NY",65960
36061011700,"Hell's Kitchen, New York, NY",65949
34039034800,"Linden, NJ",65936
36047061600,"Kings County, NY",65919
34013021400,"Cedar Grove, NJ",65910
34003025200,"Hasbrouck Heights, NJ",65838
34003025100,"Hasbrouck Heights, NJ",65838
34027040801,"Montville, NJ",65798
34013020300,"Essex County, NJ",65772
34013020800,"Livingston, NJ",65766
36047043400,"Kings County, NY",65763
34003031100,"Lyndhurst, NJ",65762
36047026000,"Kings County, NY",65759
36047018400,"Kings County, NY",65752
36047055600,"Kings County, NY",65725
34017014501,"North Bergen, NJ",65707
36047030400,"Kings County, NY",65702
36081003800,"Queens County, NY",65702
34031124322,"Clifton, NJ",65690
36059301800,"Manhasset, NY",65685
36119001301,"Park Hill, Yonkers, NY",65655
36047028400,"Kings County, NY",65652
36081162100,"Queens County, NY",65650
36047043600,"Kings County, NY",65648
36059413700,"Baldwin, NY",65556
36059410800,"Valley Stream, NY",65512
34017012400,"Kearny, NJ",65489
36061006000,"Midtown, New York, NY",65480
36047005201,"Kings County, NY",65470
36059416300,"Atlantic Beach, NY",65466
36047035400,"Kings County, NY",65443
36047064600,"Kings County, NY",65419
34003013002,"Edgewater, NJ",65418
34003004001,"Bogota, NJ",65398
34039030701,"Elizabeth, NJ",65392
36081090700,"Queens County, NY",65385
34017018800,"Hoboken, NJ",65376
36085017011,"Richmond County, NY",65341
36047007200,"Kings County, NY",65327
36085014700,"Richmond County, NY",65300
36059410500,"Valley Stream, NY",65290
36059301101,"Port Washington, NY",65277
36081072300,"Queens County, NY",65271
36081118700,"Queens County, NY",65211
34003033200,"Maywood, NJ",65204
36081051700,"Queens County, NY",65193
34039033900,"Roselle Park, NJ",65155
34003030400,"Lodi, NJ",65151
34003003402,"Bergenfield, NJ",65149
36081000800,"Queens County, NY",65116
34017001202,"Journal Square, Jersey City, NJ",65114
34017018200,"Weehawken, NJ",65099
36081008800,"Queens County, NY",65074
34003031300,"Lyndhurst, NJ",65034
36047018800,"Kings County, NY",65030
36081006300,"Queens County, NY",65026
36081083700,"Queens County, NY",65025
36081025301,"Queens County, NY",65019
36081011700,"Queens County, NY",64994
34003051100,"Rutherford, NJ",64992
36059302200,"Roslyn Heights, NY",64976
34013014900,"Bloomfield, NJ",64965
36081091900,"Queens County, NY",64928
34013016000,"Glen Ridge, NJ",64896
34039031000,"Elizabeth, NJ",64871
36005013800,"Bronx County, NY",64856
34003041302,"Palisades Park, NJ",64836
36081077903,"Queens County, NY",64799
34039036400,"Westfield, NJ",64771
36119005902,"New Rochelle, NY",64747
36059301300,"Port Washington, NY",64710
36047010600,"Kings County, NY",64709
36081129103,"Queens County, NY",64696
36061003002,"Alphabet City, New York, NY",64670
36085015100,"Richmond County, NY",64669
36085017005,"Richmond County, NY",64664
34039038300,"Mountainside, NJ",64660
36081021200,"Queens County, NY",64651
36085014604,"Richmond County, NY",64638
36081024700,"Queens County, NY",64615
34003031400,"Lyndhurst, NJ",64590
34031264102,"Woodland Park, NJ",64560
36081157102,"Queens County, NY",64532
36061005400,"Midtown, New York, NY",64519
36081084601,"Queens County, NY",64471
36081026300,"Queens County, NY",64455
36085018901,"Richmond County, NY",64452
36081048000,"Queens County, NY",64439
36059301000,"Sands Point, NY",64428
36047016200,"Kings County, NY",64418
36047056900,"Kings County, NY",64384
36081014900,"Queens County, NY",64383
36059517000,"Glen Cove, NY",64382
36047014800,"Kings County, NY",64368
34013014200,"Belleville, NJ",64365
34031124401,"Clifton, NJ",64340
36005028800,"Bronx County, NY",64312
34031175801,"Passaic, NJ",64287
34003051300,"Rutherford, NJ",64256
36047043800,"Kings County, NY",64251
34003057102,"Wallington, NJ",64233
36081063900,"Queens County, NY",64224
36081045800,"Queens County, NY",64192
36081099704,"Queens County, NY",64175
34027042600,"Florham Park, NJ",64151
36085002001,"Richmond County, NY",64119
36081086400,"Queens County, NY",64112
36047024600,"Kings County, NY",64099
34003003500,"Bergenfield, NJ",64080
36061006100,"Lower Manhattan, New York, NY",64072
34013021802,"West Caldwell, NJ",64058
36081145101,"Queens County, NY",64055
36081052100,"Queens County, NY",64035
36047059401,"Kings County, NY",64031
34013017301,"West Orange, NJ",64021
36059406002,"West Hempstead, NY",63996
34013021702,"Caldwell, NJ",63988
36085017010,"Richmond County, NY",63972
36085013204,"Richmond County, NY",63967
34003011400,"Elmwood Park, NJ",63957
36081071701,"Queens County, NY",63953
36081015300,"Queens County, NY",63937
34013014800,"Bloomfield, NJ",63925
36059410000,"Valley Stream, NY",63912
36081047600,"Queens County, NY",63905
36081074900,"Queens County, NY",63872
36081030902,"Queens County, NY",63846
34017017200,"Union City, NJ",63843
36119001504,"Southeast Yonkers, Yonkers, NY",63820
34003005000,"Carlstadt, NJ",63794
36081075701,"Queens County, NY",63790
34003021500,"Garfield, NJ",63788
36081029700,"Queens County, NY",63786
36047061002,"Kings County, NY",63779
36047010000,"Kings County, NY",63749
36047012600,"Kings County, NY",63744
36081161700,"Queens County, NY",63739
36047064800,"Kings County, NY",63688
36005028900,"Bronx County, NY",63681
34039033700,"Roselle Park, NJ",63655
34039031602,"Elizabeth, NJ",63611
34017013500,"Harrison, NJ",63589
34017013100,"Kearny, NJ",63584
36047035200,"Kings County, NY",63568
36085025100,"Richmond County, NY",63555
36047028600,"Kings County, NY",63527
36081069701,"Queens County, NY",63512
36081056200,"Queens County, NY",63508
36047035601,"Kings County, NY",63507
34017010500,"Bayonne, NJ",63503
36081045700,"Queens County, NY",63502
36081001200,"Queens County, NY",63500
34031124402,"Clifton, NJ",63489
36081074100,"Queens County, NY",63455
36081062900,"Queens County, NY",63373
36061014000,"Upper East Side, New York, NY",63349
36047039800,"Kings County, NY",63334
36061014402,"Yorkville, New York, NY",63313
36061007400,"Midtown, New York, NY",63308
36081116100,"Queens County, NY",63305
36085022600,"Richmond County, NY",63287
36081147100,"Queens County, NY",63281
36081069500,"Queens County, NY",63271
36081006202,"Queens County, NY",63258
34017020000,"Secaucus, NJ",63231
34013020200,"Essex County, NJ",63228
36005030701,"Bronx County, NY",63220
34031246104,"Wayne, NJ",63204
36059413600,"Baldwin, NY",63188
36047040600,"Kings County, NY",63174
36081026700,"Queens County, NY",63145
34017016200,"Union City, NJ",63130
34031154002,"Little Falls, NJ",63129
36061003001,"Lower Manhattan, New York, NY",63121
36047065600,"Kings County, NY",63110
36085017700,"Richmond County, NY",63102
36059413100,"Oceanside, NY",63090
36085018902,"Richmond County, NY",63078
34039037500,"Springfield Township, NJ",63076
36085020803,"Richmond County, NY",63072
36047024800,"Kings County, NY",63067
36047068800,"Kings County, NY",63063
36059517302,"Glen Cove, NY",63050
36061004200,"Lower Manhattan, New York, NY",63040
36061006800,"Kips Bay, New York, NY",63040
36047064000,"Kings County, NY",63016
36081059300,"Queens County, NY",63014
36061003300,"Lower Manhattan, New York, NY",63012
34003006202,"Cliffside Park, NJ",63003
36081054500,"Queens County, NY",63000
36081014300,"Queens County, NY",62993
36059517301,"Glen Cove, NY",62981
36081066701,"Queens County, NY",62954
36047055200,"Kings County, NY",62952
34003029100,"Little Ferry, NJ",62951
36047005400,"Kings County, NY",62941
36047043200,"Kings County, NY",62919
36081120700,"Queens County, NY",62916
34039033800,"Roselle Park, NJ",62914
36059411600,"Lawrence, NY",62900
36081093800,"Queens County, NY",62895
36119002404,"Southeast Yonkers, Yonkers, NY",62866
36047048200,"Kings County, NY",62863
36081071306,"Queens County, NY",62850
36085027301,"Richmond County, NY",62843
34039034900,"Linden, NJ",62828
36081121500,"Queens County, NY",62803
36047076800,"Kings County, NY",62800
36081127700,"Queens County, NY",62796
34017013200,"Kearny, NJ",62777
36061010601,"Midtown, New York, NY",62774
34003054300,"Teaneck, NJ",62773
36047074800,"Kings County, NY",62750
36059411901,"Lynbrook, NY",62742
34017010700,"Constable Hook, Bayonne, NJ",62735
36085027705,"Richmond County, NY",62733
36061013000,"Lenox Hill, New York, NY",62733
36047013200,"Kings County, NY",62730
36081155102,"Queens County, NY",62724
36119001502,"Southeast Yonkers, Yonkers, NY",62723
34017002900,"McGinley Square, Jersey City, NJ",62720
34017016900,"Union City, NJ",62709
34013021100,"Verona, NJ",62695
36119005701,"New Rochelle, NY",62691
36081066300,"Queens County, NY",62685
36081016900,"Queens County, NY",62682
36061013600,"Upper East Side, New York, NY",62641
34017019900,"Secaucus, NJ",62621
34017017700,"Union City, NJ",62609
34013021000,"Verona, NJ",62591
36005027402,"Bronx County, NY",62589
36081056600,"Queens County, NY",62581
36081024300,"Queens County, NY",62548
34039038500,"Scotch Plains, NJ",62515
36081045000,"Queens County, NY",62508
36085014606,"Richmond County, NY",62465
34017001800,"Journal Square, Jersey City, NJ",62448
36047058800,"Kings County, NY",62440
36081134100,"Queens County, NY",62385
36081080301,"Queens County, NY",62381
34017010400,"Bayonne, NJ",62377
36081041300,"Queens County, NY",62377
36061007200,"Kips Bay, New York, NY",62371
36047025400,"Kings County, NY",62348
34027041704,"Parsippany, Parsippany-Troy Hills, NJ",62345
36047074600,"Kings County, NY",62338
34003041100,"Palisades Park, NJ",62316
36085013400,"Richmond County, NY",62315
36085029104,"Richmond County, NY",62299
36085029103,"Richmond County, NY",62272
34003055200,"Tenafly, NJ",62265
36085014607,"Richmond County, NY",62193
36047050000,"Kings County, NY",62190
34039037200,"Cranford, NJ",62165
36081011800,"Queens County, NY",62160
34027040805,"Towaco, Montville, NJ",62151
