"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall"
34013017301,"West Orange, NJ",65514
34013014000,"Belleville, NJ",65477
34017019800,"Secaucus, NJ",65440
36047055000,"Kings County, NY",65418
34003029200,"Little Ferry, NJ",65347
36081098100,"Queens County, NY",65339
34013021200,"Verona, NJ",65309
36061016300,"Upper West Side, New York, NY",65296
36081107201,"Queens County, NY",65285
36085006700,"Richmond County, NY",65261
36047056200,"Kings County, NY",65247
34039034800,"Linden, NJ",65237
36005033500,"Bronx County, NY",65237
36047020600,"Kings County, NY",65183
36081064500,"Queens County, NY",65154
36085017011,"Richmond County, NY",65135
34017012400,"Kearny, NJ",65121
36047069800,"Kings County, NY",65115
34039037700,"Summit, NJ",65107
36061015801,"Upper East Side, New York, NY",65050
36047045000,"Kings County, NY",65037
36047057600,"Kings County, NY",65005
36081129103,"Queens County, NY",64986
36047075400,"Kings County, NY",64951
36081063500,"Queens County, NY",64844
34003033200,"Maywood, NJ",64832
36081069702,"Queens County, NY",64825
34039033600,"Kenilworth, NJ",64822
36059406002,"West Hempstead, NY",64798
36085018901,"Richmond County, NY",64674
36047054800,"Kings County, NY",64599
36081060300,"Queens County, NY",64595
36061005700,"Lower Manhattan, New York, NY",64580
36061016100,"Upper West Side, New York, NY",64564
34031246104,"Wayne, NJ",64504
34013021801,"West Caldwell, NJ",64477
36059304002,"Westbury, NY",64461
36047004600,"Kings County, NY",64446
36047064200,"Kings County, NY",64443
36085015100,"Richmond County, NY",64430
34039038602,"Scotch Plains, NJ",64390
34003006100,"Cliffside Park, NJ",64390
36059412301,"Rockville Centre, NY",64364
34013021000,"Verona, NJ",64349
34027042000,"Whippany, Hanover, NJ",64337
34003045100,"Ridgefield, NJ",64289
36085027704,"Richmond County, NY",64246
36061005900,"Lower Manhattan, New York, NY",64241
34003051100,"Rutherford, NJ",64228
34003012002,"East Rutherford, NJ",64200
36059413100,"Oceanside, NY",64192
34023006403,"East Brunswick, NJ",64171
36061012200,"Lenox Hill, New York, NY",64168
34013013900,"Nutley, NJ",64143
34003019304,"Fort Lee, NJ",64082
36081139900,"Queens County, NY",64070
36085025100,"Richmond County, NY",64069
36005031400,"Bronx County, NY",64051
36081124700,"Queens County, NY",63885
36059410000,"Valley Stream, NY",63871
34023001414,"Edison, NJ",63852
34003025100,"Hasbrouck Heights, NJ",63821
36059407700,"Westbury, NY",63791
36081099704,"Queens County, NY",63766
34003003402,"Bergenfield, NJ",63757
36059410800,"Valley Stream, NY",63738
36081115100,"Queens County, NY",63721
36081127700,"Queens County, NY",63703
34017012300,"Kearny, NJ",63604
36059300800,"Great Neck, NY",63600
34013013700,"Nutley, NJ",63595
36047065800,"Kings County, NY",63554
36059415000,"Merrick, NY",63552
34027042700,"Chatham, NJ",63547
36081130100,"Queens County, NY",63541
34013016100,"Upper Montclair, Montclair, NJ",63525
36081140300,"Queens County, NY",63503
36085017005,"Richmond County, NY",63463
36059301400,"Port Washington, NY",63451
36061000700,"Lower Manhattan, New York, NY",63438
36081070700,"Queens County, NY",63422
34017006600,"Jersey City, NJ",63396
36047065600,"Kings County, NY",63368
34039037400,"Cranford, NJ",63361
36005028600,"Bronx County, NY",63344
36085014604,"Richmond County, NY",63333
36081066701,"Queens County, NY",63322
36081157902,"Queens County, NY",63316
36085017012,"Richmond County, NY",63296
36059413700,"Baldwin, NY",63241
34003050000,"Rochelle Park, NJ",63232
36081093402,"Queens County, NY",63206
36081088400,"Queens County, NY",63194
34003033300,"Maywood, NJ",63180
34013019000,"South Orange, NJ",63173
36005028800,"Bronx County, NY",63141
36061008000,"Midtown, New York, NY",63136
34023001502,"Edison, NJ",63094
36047020200,"Kings County, NY",63051
36081161700,"Queens County, NY",62994
36047064600,"Kings County, NY",62920
34039038700,"Fanwood, NJ",62901
36081063302,"Queens County, NY",62885
36061014401,"Upper East Side, New York, NY",62872
34013019400,"Maplewood, NJ",62834
34013021702,"Caldwell, NJ",62827
36047059402,"Kings County, NY",62816
36061013400,"Lenox Hill, New York, NY",62806
36061012600,"Lenox Hill, New York, NY",62798
34003019204,"Fort Lee, NJ",62769
36047014800,"Kings County, NY",62752
34031264102,"Woodland Park, NJ",62737
36061012000,"Lenox Hill, New York, NY",62711
34031124401,"Clifton, NJ",62688
34003028002,"Leonia, NJ",62653
34003045200,"Ridgefield, NJ",62622
36081066300,"Queens County, NY",62606
34013017302,"West Orange, NJ",62589
36061007200,"Kips Bay, New York, NY",62570
36047057400,"Kings County, NY",62558
36085018902,"Richmond County, NY",62550
36005044901,"Bronx County, NY",62535
36081120700,"Queens County, NY",62477
36085012100,"Richmond County, NY",62477
36061011201,"Midtown, New York, NY",62443
34031154001,"Little Falls, NJ",62432
36081069500,"Queens County, NY",62417
34031124602,"Clifton, NJ",62413
